"Plant_id","ID","Plot","Plant_sp","Plant_sp_complete","N_flowers","Area_m2","Height_cm","sync_index_het","sync_index_con","Cover_con","Cover_het"
"683",110,"A","HPIC","Helichrysum_picardii",7,0.01,10,0.0140056022408964,0.728571428571429,0,0.78125
"684",111,"A","HPIC","Helichrysum_picardii",2,0.016,25,0.112745098039216,0.65,0.03125,0.53125
"685",112,"A","HPIC","Helichrysum_picardii",5,0.011,70,0.125490196078431,0.62,0.0625,0.59375
"686",699,"F","HPIC","Helichrysum_picardii",12,0.041,28,0.00434782608695652,0.5,0,0.4375
"687",700,"F","HPIC","Helichrysum_picardii",0,0.006,12,0,0,0,0.34375
"688",224,"B","HPIC","Helichrysum_picardii",59,0.021,50,0.0456730769230769,0.788461538461539,0,0.6875
"689",225,"B","HPIC","Helichrysum_picardii",3,0.006,32,0.0375,0.77,0.03125,0.75
"69",463,"E","UPAR","Ulex_parviflorus",61,0.312,60,0.257262007477711,0.930054644808743,0.0625,0.53125
"690",226,"B","HPIC","Helichrysum_picardii",14,0.034,26,0,0.757142857142857,0,0.375
"691",227,"B","HPIC","Helichrysum_picardii",3,0.009,19,0.03125,0.8,0,0.96875
"692",228,"B","HPIC","Helichrysum_picardii",6,0.018,38,0.075,0.8,0.03125,0.71875
"7",7,"A","UPAR","Ulex_parviflorus",1602,1.568,78,0.118601747815231,0.930253849354973,0,0.59375
"70",464,"E","UPAR","Ulex_parviflorus",9,0.433,94,0.326510721247563,0.822222222222222,0.03125,0.40625
"71",465,"E","UPAR","Ulex_parviflorus",15,0.784,66,0.277777777777778,0.906666666666667,0,0.40625
"72",466,"E","UPAR","Ulex_parviflorus",281,0.413,98,0.316423589093215,0.845381526104418,0.15625,0.4375
"73",467,"E","UPAR","Ulex_parviflorus",19,1.862,116,0.254385964912281,0.933333333333333,0.09375,0.46875
"74",468,"E","UPAR","Ulex_parviflorus",353,0.244,67,0.271308583072412,0.912936732766761,0.09375,0.4375
"75",469,"E","UPAR","Ulex_parviflorus",6,0.242,39,0.254385964912281,0.933333333333333,0.0625,0.59375
"76",480,"E","ROFF","Rosmarinus_officinalis",1443,0.439,40,0.370122950167804,0.971592626171049,0,0.875
"77",481,"E","ROFF","Rosmarinus_officinalis",349,0.093,87,0.375092261397831,0.983387270765911,0,0.59375
"78",482,"E","ROFF","Rosmarinus_officinalis",1475,0.76,118,0.263768115942029,0.810305958132045,0,0.4375
"79",483,"E","ROFF","Rosmarinus_officinalis",1011,0.173,97,0.319816544549471,0.893304994686504,0,0.71875
