"Plant_id" "Plant_sp" "Plot" "Response" "Type" "Anthophora_sp" "Apis_mellifera" "Bombus_terrestris" "Bombylius_sp" "Ceratina_sp" "Chalicodoma_sicula" "Chrysolina_americana" "Colletes_sp" "Diptera_sp4" "Diptera_sp9" "Episyrphus_balteatus" "Eristalis_sp" "Eucera_sp" "Eupeodes_sp" "Halictidae_sp1" "Halictus_sp2" "Halictus_sp3" "Hymenoptera_sp1" "Lasioglossum_sp1" "Lasioglossum_sp2" "Lasioglossum_sp6" "Lobonyx_aeneus" "Malachius_sp" "Metasyrphus_corollae" "Nomada_sp" "Osmia_sp" "Rhyncomyia_cupraea" "Syrphidae_sp1" "Syrphidae_sp2" "Syrphidae_sp3" "Thyreus_sp" "Vespidae" "Xylocopa_cantabrita" "N_flowers"
"41" "19" "ROFF" "B" 1 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"42" "19" "ROFF" "B" 3 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"43" "19" "ROFF" "B" 2 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"44" "19" "ROFF" "B" 2 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"45" "19" "ROFF" "B" 2 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"46" "19" "ROFF" "B" 3 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"47" "19" "ROFF" "B" 1 "poisson" 0 0.00235583592911551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120205612024565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1008
"48" "20" "ROFF" "B" 4 "poisson" 0 0.00181998124940508 0 0 0 4.51161741484322e-05 0 0 0 0 0 0 0.000144435617823355 0 0 0 0 0 0.00906329874524547 0.000721858786374915 0 0 0 0 0 0 0 0 0 0 0 0 0.00180124353155853 2911
"49" "20" "ROFF" "B" 3 "poisson" 0 0.00181998124940508 0 0 0 4.51161741484322e-05 0 0 0 0 0 0 0.000144435617823355 0 0 0 0 0 0.00906329874524547 0.000721858786374915 0 0 0 0 0 0 0 0 0 0 0 0 0.00180124353155853 2911
"50" "20" "ROFF" "B" 3 "poisson" 0 0.00181998124940508 0 0 0 4.51161741484322e-05 0 0 0 0 0 0 0.000144435617823355 0 0 0 0 0 0.00906329874524547 0.000721858786374915 0 0 0 0 0 0 0 0 0 0 0 0 0.00180124353155853 2911
"51" "20" "ROFF" "B" 4 "poisson" 0 0.00181998124940508 0 0 0 4.51161741484322e-05 0 0 0 0 0 0 0.000144435617823355 0 0 0 0 0 0.00906329874524547 0.000721858786374915 0 0 0 0 0 0 0 0 0 0 0 0 0.00180124353155853 2911
"52" "20" "ROFF" "B" 3 "poisson" 0 0.00181998124940508 0 0 0 4.51161741484322e-05 0 0 0 0 0 0 0.000144435617823355 0 0 0 0 0 0.00906329874524547 0.000721858786374915 0 0 0 0 0 0 0 0 0 0 0 0 0.00180124353155853 2911
