"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"387",0,0,0.00875043566458751,0,0.0234748290373811,0,0,0,0,0,0,0,0,0,0,0.00039968496897809,0,0,0,0,0,0,0,0,0,0.00039968496897809,0,0.0138378540253089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000625031118899108,0,0,0,0,0,0,0.00437521783229375,"387","CLIB",76,16800,7,0.226370031765795
"388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106191004997224,0,0,0,0,0,0,0,0,0,0,0,0,0.00208217656857301,0,0,0,0.00208217656857301,0,0,0,0,0,0,0,0,0,0,"388","CLIB",30,12600,3,0.934986093374469
"389",0,0.00238350717497758,0.00038339829383096,0,0.000105026162319352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388742120982824,0,0.00189873417721519,0,0.000379746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0.00189873417721519,0,0,0,0,0,0,0,0,0,0.0129113924050633,"389","CLIB",233,21000,8,0.474291323674794
"390",0,0.0129861276369192,0.00293420370326597,0,0,0,0,0,0.00585380067822143,0,0,0,0,0.000680341531448787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895168840475189,0,0,0,0.00208452759393402,0,0.0139345078132776,0,0,0,0,0,0,0,0,0,0,0.0121820117021905,0,0,0,0,0,0.00104226379696701,0.00408204918869272,0,0,0.0669909181573842,"390","CLIB",185,21000,11,0.191161360377195
"391",0,0.000198812992902283,0.00781705586036484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167143133975484,0,0,0.042351244002493,0,0,0,0.000943589140055989,0,0,0,0,0,0,0,0,0.000537744288654563,0,0,0,0.00460342341053323,0,0.000204448806018973,0,0,0,0.00143114164213281,0,0.000408897612037946,0,0.0104115859377931,"391","CLIB",563,21000,11,0.222121527386986
"392",0,0.0337457817772778,0,0,0,0,0,0,0,0,0,0.00937382827146607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749906261717285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228420463452219,"392","CLIB",32,12600,4,0.316090808723163
"393",0,0.00887857513351224,0,0,0,0,0,0,0.00499500499500499,0,0,0,0,0.000888423837398695,0,0,0,0,0,0,0,0,0,0,0.0496278531861661,0,0,0.00773038113452534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000888423837398695,0,0,0,0,0,0,0,0,0,0.000335394973073402,"393","CLIB",302,21000,7,0.474317848301488
"395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00448833034111311,0,0,0,0,0,0,0,0.00512032770097286,0,0,0,0,"395","CLIB",54,16800,2,0.491283239475505
"469",0,0,0.131299183628382,0.0182149362477231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000675090740137719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674673615604543,0,0,0,0,0,0,0,0,0,0,"469","CLIB",21,12600,4,0.73127367887299
"470",0,0,0.00452774342442291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137425561154375,0,0,0,0,0,0,0,0,0,0,0.013636338887325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"470","CLIB",17,8400,3,0.34081251795894
"396",0,0,0.0111817884482945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"396","CLIB",18,12600,1,0.999999999999997
"397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0.074273300885785,0,0,0,0,0,0,0,0,0,0,0,0,0.00794225026750626,0,0,0,0.00535621471350405,0,0,0,0,0,0,0,0,0,0,"397","CLIB",45,12600,4,0.629615776017082
"398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717488566556129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"398","CLIB",12,8400,1,0.999999999999998
"399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603578466757735,0,0,0,0.00320975766329642,0,0,0,0,0,0,0,0,0,0,0,0,0.00215257268108913,0,0,0,0,0,0,0,0,0,0,"399","CLIB",121,16800,3,0.861244650568357
"400",0,0,0.0146078583095565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563851568419007,0,0,0,0.0146078583095565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"400","CLIB",33,16800,3,0.478786954392766
"401",0,0,0.021879704371943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146078583095565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"401","CLIB",32,12600,2,0.513006011281854
"402",0,0,0.00916364564499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267227822760137,0,0,0,0.000352382546941056,0,0,0,0,0,0,0,0,0.00440563154902886,0,0,0,0.000393254945978515,0,0,0,0,0,0.00152006490946925,0,0,0,0.000735703182674264,"402","CLIB",94,16800,7,0.218407792770978
"403",0,0.00297265160523187,0.0170931038365896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564803804994055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148632580261593,0,0,0,0,0,0,0,0,0,0,0,0,0.015552099533437,0,0,0,0,0,0,0,0,0,0,"403","CLIB",27,12600,5,0.278458078549896
"404",0,0,0.00187093655965949,0,0,0.00112998722368832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280640483948923,0,0,0,0,0,0,0.0570635650696144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112998722368832,0,0,0,0,0,0,0,0,0,0,"404","CLIB",62,16800,5,0.814579095100245
"405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00681237581606585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204371274481976,"405","CLIB",29,12600,2,0.634839659762205
"406",0,0,0.00365509039644197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555825658051433,0,0,0.0303532008830022,0,0,0,0,0,0,0,0,0,0,0,0,0.00233127404126355,0,0,0,0.0093250961650542,0,0,0,0,0,0,0,0,0,0,"406","CLIB",69,16800,5,0.36172847734644
