"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"512",0,0,0,0,0,0,0.349478861083275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"512","HHAL",21,21000,1,0.999999999999995
"513",0,0,0.00695732838589981,0,0,0,0.0210872575398165,0,0,0,0,0,0,0,0.0140088969617257,0.0253509680249117,0,0,0,0.00223949143360613,0,0,0,0,0,0.00313659888127973,0,0,0,0,0,0,0,0,0,0,0,0,"513","HHAL",127,33600,6,0
"514",0,0,0,0,0,0,0.00692723056852807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"514","HHAL",14,16800,1,0.999999999999997
"515",0,0,0,0.0105888399109547,0,0,0.0633037159877627,0.00256581732821731,0,0,0,0,0,0,0.0101482851948963,0.0090548623070277,0,0,0,0,0,0,0,0,0,0,0,0,0.00153397760392698,0,0,0,0,0,0,0,0,0,"515","HHAL",336,33600,6,0.350495641347111
"516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115126610591404,0,0,0,0,0,0,0,0,"516","HHAL",2,8400,1,0.999999999999998
"517",0.00782518388318204,0,0,0,0,0,0.0599035364188656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"517","HHAL",57,29400,2,0.784704747491862
"518",0,0,0,0,0.00308125333296776,0,0.0362521210597138,0.00288457758831024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196675744657516,0,0,0,0,0,0.0033167495854063,0,0.000818166745299837,0,0,0,0,0,0,0,"518","HHAL",74,25200,6,0.575585957344257
"519",0.010738208540425,0,0,0,0,0,0.252060589324896,0.0178970142340416,0,0,0,0,0,0,0,0.0629650829994276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00479584135972499,0.0178970142340416,0,0,0,0,0,0,0,"519","HHAL",84,33600,6,0.426285071037508
"520",0,0,0,0,0,0,0.140973434254467,0,0,0,0,0,0,0,0.014145524711906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267642073333928,0,0,0,0,0,0,0,0,0,"520","HHAL",48,21000,3,0.796809911434345
"521",0,0,0,0,0,0,0.0587085823892076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655379574003277,0,0,0,0,0,0,0,0,0.00655379574003277,"521","HHAL",77,33600,3,0.656006960924267
"522",0.000226523554144836,0,0,0,0,0,0.103307714195535,0.00996703638237278,0,0,0,0,0,0,0.0723529552566552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226523554144836,0.000113261777072418,0,0,0.00421194916797819,0,0,0,0,"522","HHAL",195,29400,7,0.328477420045615
"523",4.46317706069554e-05,0,0,0,0,0,0.0679913533845567,0,0,0,0,0,0,0,0.00157499068277623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131651124520022,0,0,0,0,0,0,0,0,0,"523","HHAL",153,29400,4,0.918452690390095
"524",0,0,0,0,0,0,0.0688867694331573,0,0,0,0,0,0,0,0.00567497169616605,0.00444806879679739,0,0,0,0.00541278861643163,0,0,0,0,0.0144939366506229,0,0,0,0,0,0,0,0,0,0,0,0,0.012641348822931,"524","HHAL",103,37800,6,0.290686537741686
"525",0.00392931241997388,0,0,0,0,0,0.0418934793362262,0,0,0,0,0,0,0,0,0.0211505244332607,0,0,0.00210703750526759,0,0,0,0,0,0,0,0,0,0.00722794788933587,0,0.00392931241997388,0,0,0,0,0,0,0.0264448253372576,"525","HHAL",155,29400,7,0.0170900117256341
"526",0.000715567182274538,0,0,0,0,0,0.024544977181803,0.000178891795568634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178891795568634,0,0,0,0,0,0,0,"526","HHAL",66,25200,4,0.91749534782591
"527",0,0,0,0.000316641092184253,0,0,0.0485559319083473,0,0,0.00499930565199278,0,0,0,0,0.000525625615889732,0.00663716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0.00267951124155561,0.00115890780025824,0.0037740791801812,0,0,0,0,0,0,0.00110619469026549,"527","HHAL",278,29400,9,0.419263230765538
"528",0.0108972931113942,0,0,0,0,0,0.296269140121578,0,0,0,0,0,0,0,0,0.0319318786588611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638637573177222,"528","HHAL",37,25200,4,0.727386187037416
"529",0,0,0,0,0,0,0.0273604686126834,0,0,0,0,0,0,0,0.00149408909868378,0.00658207481625041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241666304839475,0,0,0,0,0,0,0,0.00658207481625041,"529","HHAL",376,29400,5,0.36887572445397
"530",0.00170982632500956,0,0,0,0,0,0.142102381054412,0,0,0,0,0,0,0,0.00374495139637354,0.0208805947664902,0,0,0,0.00630417651694247,0,0,0,0,0,0,0,0,0.0129519697787372,0.00494834510170788,0.00170982632500956,0,0,0,0,0,0,0,"530","HHAL",186,33600,8,0.48723268526387
"533",0,0,0,0,0,0,0.0453503067610844,0,0.00187958147985715,0,0,0,0,0,0.00200309874397311,0,0,0,0,0,0,0,0,0,0,0.00198490036302224,0,0,0,0,1.92202076108741e-05,0,0,0,0,0,0,0,"533","HHAL",767,25200,5,0.77591337507527
"534",0,0,0,0,0,0,0.754650253453293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159094839064028,0,0,0.00994856730544026,0,0,0,0,0,0,0,0,0,"534","HHAL",56,25200,3,0.934643467811623
"535",0.084024781934228,0,0,0,0,0,0.141916144490328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"535","HHAL",63,12600,2,0.459939496363529
"536",0,0,0,0,0,0,0.542962606645801,0,0,0,0,0,0,0,0,0,0,0,0,0.0340946630608941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"536","HHAL",56,21000,2,0.886030030557404
